participant_id,participant_name
B01274,MORGAN STANLEY HONG KONG SECURITIES LTD
B01463,KGI WEALTH MANAGEMENT LTD
B01884,HONG KONG SECURITIES (INTERNATIONAL)
B00741,BOLD WIN SECURITIES CO
B01834,ECLIPSE OPTIONS (HK) LTD
C00002,BANK OF COMMUNICATIONS TRUSTEE LTD
A00002,CHINA SECURITIES DEPOSITORY AND CLEARING
C00003,THE BANK OF EAST ASIA LTD
B01289,SOUTH CHINA SECURITIES LTD
B01396,REALIGHT INVESTMENT LTD
B02089,TONGFANG SECURITIES LTD
B01482,RICH SECURITIES LTD
B00947,GENTLE SECURITIES CO
B01348,GRAND FORTUNE SECURITIES & INVESTMENT CO
B01697,JS SECURITIES LTD
B01186,BOKHARY & CO
B01739,CHUNG LEE SECURITIES CO LTD
B01259,FAIR EAGLE SECURITIES CO LTD
B01676,TAI SHING STOCK INVESTMENT CO LTD
B01112,DANNIS LEE & CO
B02125,CHINA YINSHENG INTERNATIONAL SECURITIES
B02002,SEAZEN RESOURCES SECURITIES LTD
B00605,CHONG SECURITIES CO
B01713,TRUSTFUL SECURITIES LTD
B01622,CHARK FUNG SECURITIES CO LTD
B02147,REGAN INTERNATIONAL SECURITIES LTD
B01974,ARISTO SECURITIES LTD
B01656,DASHIN SECURITIES LTD
B01320,LUEN FAT SECURITIES CO LTD
C00005,BARCLAYS BANK PLC
B01308,M&F ASSET MANAGEMENT LTD
B02028,SORRENTO SECURITIES LTD
B00951,NG WA YEE & CO
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD
B00378,HOPE & CO
C00042,CMB WING LUNG BANK LTD
B01337,TAI FAT SECURITIES CO
B01936,MIGHTY BROKERAGE (ASIA) LTD
B01034,WING YIP CO
B01107,WAH CHEONG SECURITIES CO
B02128,SILVERBRICKS SECURITIES CO LTD
B01601,CSC SECURITIES (HK) LTD
B01409,DRESDNER KLEINWORT WASSERSTEIN
B02116,MOUETTE SECURITIES CO LTD
B01649,CINDA INTERNATIONAL SECURITIES LTD
B01774,CANTOR FITZGERALD (HONG KONG) CAPITAL
B02159,USMART SECURITIES LTD
B01901,CMB INTERNATIONAL SECURITIES LTD
B01343,CELETIO INVESTMENTS LTD
B00106,SO KWAN NANE & CO
B02129,WAN LUNG SECURITIES LTD
B01750,POLARIS CAPITAL (ASIA) LTD
B00026,GOLDEN SEA CO
B00115,TUNG TAK & CO
B01695,DAH SING SECURITIES LTD
B00219,KA YUE INVESTMENT CO
B02061,GRAND PARTNERS SECURITIES LTD
B02049,PACIFIC INTERNATIONAL SECURITIES LTD
B01948,CAITONG INTERNATIONAL SECURITIES CO LTD
B01446,FORLUXE SECURITIES CO
B02023,DONGHAI INTERNATIONAL SECURITIES
B01467,STAR SECURITIES LTD
B01385,FAIRWIN BROKING LTD
B02052,SUNHIGH FINANCIAL HOLDINGS LTD
B01776,AIF SECURITIES LTD
B00223,YUEN HANG INVESTMENT CO
B01714,HEAD & SHOULDERS SECURITIES LTD
B00343,H. K. HUNG INVESTMENT CO
B01716,ORIENT SECURITIES LTD
B00601,VICTORY INVESTMENT CO
B01292,ALPHA SECURITIES CO LTD
B01504,J.P. MORGAN SECURITIES HONG KONG LTD
B02210,ARK GROUP HOLDINGS (HONG KONG) LTD
B01630,ANLI SECURITIES LTD
B02163,GOLDEN EAGLE BROKERAGE LTD
B80005,KOO & CO
B01971,HGNH INTERNATIONAL SECURITIES CO LTD
B00769,HOU TAK INVESTMENT CO
B01727,ICBC (ASIA) SECURITIES LTD
B01626,ONG ASIA SECURITIES (HK) LTD
B01824,INSTINET PACIFIC LTD
C00094,ING BANK N.V.
B01666,GLORY SUN SECURITIES LTD
B01726,C.P. SECURITIES INTERNATIONAL LTD
B02005,STI ASSET MANAGEMENT LTD
C00097,ABN AMRO BANK N.V.
C00048,CHIYU BANKING CORPORATION LTD
C00111,SOCIETE GENERALE
C00112,BANK OF COMMUNICATIONS (HONG KONG) LTD
C00074,DEUTSCHE BANK AG
C00066,BANQUE WORMS
C00077,LLOYDS TSB BANK PLC
B02223,DOO FINANCIAL HK LTD
P00013,CHOW TAI FOOK JEWELLERY CO LTD
C00072,LTCB ASIA LTD
C00078,CREDIT COMMERCIAL DE FRANCE
C00099,"TAISHIN INTERNATIONAL BANK CO., LTD"
C00102,MACQUARIE BANK LTD
C00090,KBC BANK N.V.
P00009,ALLIED BANKING CORPORATION (HONG KONG)
C00104,SHANGHAI PUDONG DEVELOPMENT BANK CO.
P00014,HAITONG INTERNATIONAL FINANCE CO LTD
B02222,EBANG SECURITIES INTERNATIONAL (HK) LTD
C00051,PARIBAS
C00067,THE BANK OF NOVA SCOTIA
