standard_symbol,stock_name
SEHK:72249,"ZHONGSHAN BROAD-OCEAN MOTOR CO.,LTD (A #002249)"
SEHK:02814,SAMSUNG NYSE FANG+ETF -HKD TRADED UNITS
SEHK:93815,"ANHUI GOURGEN TRAFFIC CONSTRUCTION CO.,LTD. (A #603815)"
SEHK:77601,"SHENZHEN KANGTAI BIOLOGICAL PRODUCTS CO.,LTD. (A #300601)"
SEHK:01527,"ZHEJIANG TENGY ENVIRONMENTAL TECHNOLOGY CO., LTD"
SEHK:00229,RAYMOND INDUSTRIAL LIMITED
SEHK:90193,"SHANGHAI PROSOLAR RESOURCE DEVELOPMENT CO.,LTD (A #600193)"
SEHK:03081,VALUE GOLD ETF -HKD TRADED UNITS
SEHK:02356,DAH SING BANKING GROUP LIMITED
SEHK:73009,"SHAANXI ZHONGTIAN ROCKET TECHNOLOGY CO., LTD (A #003009)"
SEHK:90803,"ENN NATURAL GAS CO.,LTD. (A #600803)"
SEHK:06133,VITAL INNOVATIONS HOLDINGS LIMITED
SEHK:77619,"FOSHAN GOLDEN MILKY WAY INTELLIGENT EQUIPMENT CO., LTD. (A #300619)"
SEHK:77171,"TOFFLON SCIENCE AND TECHNOLOGY GROUP CO.,LTD. (A #300171)"
SEHK:00780,TONGCHENG TRAVEL HOLDINGS LIMITED
SEHK:01881,REGAL REAL ESTATE INVESTMENT TRUST
SEHK:00831,CONVENIENCE RETAIL ASIA LIMITED
SEHK:00643,CARRY WEALTH HOLDINGS LIMITED
SEHK:02256,ABBISKO CAYMAN LIMITED
SEHK:06668,E-STAR COMMERCIAL MANAGEMENT COMPANY LIMITED
SEHK:01962,EVERGREEN PRODUCTS GROUP LIMITED
SEHK:91238,"GUANGZHOU AUTOMOBILE GROUP CO.,LTD. (A #601238)"
SEHK:01301,D&G TECHNOLOGY HOLDING COMPANY LIMITED
SEHK:72978,"SICHUAN ANNING IRON AND TITANIUM CO.,LTD. (A #002978)"
SEHK:02128,CHINA LESSO GROUP HOLDINGS LIMITED
SEHK:01285,JIASHILI GROUP LIMITED
SEHK:72489,"YOTRIO GROUP CO., LTD (A #002489)"
SEHK:01910,SAMSONITE GROUP S.A.
SEHK:78580,"AIDITE (QINHUANGDAO) TECHNOLOGY CO., LTD. (A #301580)"
SEHK:72293,"LUOLAI LIFESTYLE TECHNOLOGY CO.,LTD. (A #002293)"
SEHK:72597,"ANHUI JINHE INDUSTRIAL CO.,LTD (A #002597)"
SEHK:09928,TIMES NEIGHBORHOOD HOLDINGS LIMITED
SEHK:09814,SAMSUNG NYSE FANG+ETF -USD TRADED UNITS
SEHK:01204,BOARDWARE INTELLIGENCE TECHNOLOGY LIMITED
SEHK:70029,"SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE&PROP (GROUP) CO.,LTD. (A #000029)"
SEHK:03969,CHINA RAILWAY SIGNAL & COMMUNICATION CORPORATION LIMITED
SEHK:00326,CHINA STAR ENTERTAINMENT LIMITED
SEHK:77158,"SHANXI ZHENDONG PHARMACEUTICAL CO.,LTD (A #300158)"
SEHK:70157,"ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY CO., LTD (A #000157)"
SEHK:08283,ZHONGSHI MINAN HOLDINGS LIMITED
SEHK:31305,AI INTELLIGENCE (A #159819)
SEHK:00064,GET NICE HOLDINGS LIMITED
SEHK:83042,CHINAAMC BITCOIN ETF- RMB COUNTER
SEHK:72476,"SHANDONG POLYMER BIOCHEMICALS CO.,LTD. (A #002476)"
SEHK:06805,KIMOU ENVIRONMENTAL HOLDING LIMITED
SEHK:01588,CHANJET INFORMATION TECHNOLOGY COMPANY LIMITED
SEHK:93069,"HAINAN HAIQI TRANSPORTATION GROUP CO.,LTD. (A #603069)"
SEHK:93228,"SHENZHEN KINWONG ELECTRONIC CO.,LTD. (A #603228)"
SEHK:01060,ALIBABA PICTURES GROUP LIMITED
SEHK:72649,BEYONDSOFT CORPORATION (A #002649)
SEHK:72610,"ZHEJIANG AKCOME NEW ENERGY TECHNOLOGY CO.,LTD. (A #002610)"
SEHK:72724,"OCEAN""S KING LIGHTING SCIENCE & TECHNOLOGY CO., LTD. (A #002724)"
SEHK:91901,"FOUNDER SECURITIES CO., LTD. (A #601901)"
SEHK:93127,"JOINN LABORATORIES (CHINA) CO., LTD (A #603127)"
SEHK:00976,CHIHO ENVIRONMENTAL GROUP LIMITED
SEHK:77413,"MANGO EXCELLENT MEDIA CO., LTD. (A #300413)"
SEHK:02307,KAM HING INTERNATIONAL HOLDINGS LIMITED
SEHK:78211,"HUBEI BIOCAUSE HEILEN PHARMACEUTICAL CO., LTD. (A #301211)"
SEHK:93165,"ZHEJIANG RONGSHENG ENVIRONMENTAL PROTECTION PAPER CO.,LTD (A #603165)"
SEHK:91398,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED (A #601398)
SEHK:01290,CHINA HUIRONG FINANCIAL HOLDINGS LIMITED
SEHK:31119,CN SOUTHERN FTSE CN SOE SUSTAIN PRO ETF (A #517180)
SEHK:01519,J&T GLOBAL EXPRESS LIMITED
SEHK:93055,"ZHEJIANG TAIHUA NEW MATERIAL GROUP CO., LTD (A #603055)"
SEHK:03470,GLOBAL X FTSE GREATER CHINA ETF
SEHK:03195,HANG SENG S&P 500 INDEX ETF -HKD TRADED UNITS
SEHK:90337,"MARKOR INTERNATIONAL HOME FURNISHINGS CO., LTD. (A #600337)"
SEHK:83167,ICBC CSOP S&P NEW CHINA SECTORS ETF -RMB TRADED UNITS
SEHK:01697,"SHANDONG INTERNATIONAL TRUST CO., LTD."
SEHK:77589,"JIANGLONG SHIPBUILDING CO.,LTD (A #300589)"
SEHK:01810,XIAOMI CORPORATION -HKD TRADED SHARES
SEHK:77969,"NINGBO HENGSHUAI CO., LTD. (A #300969)"
SEHK:70065,NORINCO INTERNATIONAL COOPERATION LTD. (A #000065)
SEHK:02076,KANZHUN LIMITED
SEHK:00505,XINGYE ALLOY MATERIALS GROUP LIMITED
SEHK:31123,CN SOUTHERN CSI GUOXIN CENTRAL TECH ETF (A #560170)
SEHK:72060,"GUANGDONG CONSTRUCTION ENGINEERING GROUP CO., LTD. (A#002060)"
SEHK:00472,NEW SILKROAD CULTURALTAINMENT LIMITED
SEHK:72456,"OFILM GROUP CO., LTD. (A #002456)"
SEHK:90160,"ZHEJIANG JUHUA CO.,LTD. (A #600160)"
SEHK:09966,ALPHAMAB ONCOLOGY
SEHK:72663,"PUBANG LANDSCAPE ARCHITECTURE CO.,LTD (A #002663)"
SEHK:02908,EV DYNAMICS (HOLDINGS) LIMITED -OLD
SEHK:91900,"SOUTHERN PUBLISHING AND MEDIA CO., LTD. (#601900)"
SEHK:00029,DYNAMIC HOLDINGS LIMITED
SEHK:30188,SHANGHAI BOCHU ELECTRONIC TECHNOLOGY CORPORATION LIMITED (A #688188)
SEHK:78391,COLORLIGHT CLOUD TECH LTD (A #301391)
SEHK:08366,ZHEJIANG UNITED INVESTMENT HOLDINGS GROUP LIMITED
SEHK:08158,CHINA REGENERATIVE MEDICINE INTERNATIONAL LIMITED
SEHK:93193,"RUNBEN BIOTECHNOLOGY CO., LTD. (A #603193)"
SEHK:30410,"SWS HEMODIALYSIS CARE CO .,LTD. (A #688410)"
SEHK:01999,MAN WAH HOLDINGS LIMITED
SEHK:00897,WAI YUEN TONG MEDICINE HOLDINGS LIMITED
SEHK:01156,CHINA NEW ENERGY LIMITED
SEHK:00179,JOHNSON ELECTRIC HOLDINGS LIMITED
SEHK:77368,"HEBEI HUIJIN GROUP CO., LTD. (A #300368)"
SEHK:01439,MOBILE INTERNET (CHINA) HOLDINGS LIMITED
SEHK:02251,"BEIJING AIRDOC TECHNOLOGY CO., LTD."
SEHK:72672,DONGJIANG ENVIRONMENTAL COMPANY LIMITED (A #002672)
SEHK:70710,"BERRY GENOMICS CO.,LTD (A #000710)"
SEHK:01495,JIYI HOLDINGS LIMITED
SEHK:77648,"FUJIAN NEBULA ELECTRONICS CO.,LTD. (A #300648)"
SEHK:78618,"DONGGUAN CHANGLIAN NEW MATERIALS TECHNOLOGY CO.,LTD. (A #301618)"
SEHK:70552,"GANSU ENERGY CHEMICAL CO.,LTD (A #000552)"
SEHK:01612,VINCENT MEDICAL HOLDINGS LIMITED
SEHK:90645,"ZHONGYUAN UNION CELL & GENE ENGINEERING CORP., LTD (A #600645)"
SEHK:70903,"KUNMING YUNNEI POWER CO., LTD. (A #000903)"
SEHK:72110,"SANSTEEL MINGUANG CO.,LTD.,FUJIAN (A #002110)"
SEHK:06199,"BANK OF GUIZHOU CO., LTD."
SEHK:80992,LENOVO GROUP LIMITED -RMB TRADED SHARES
SEHK:77904,"YINCHUAN WEILI TRANSMISSION TECHNOLOGY CO., LTD. (A #300904)"
SEHK:03124,GLOBAL X CHINA E-COMMERCE AND LOGISTICS ETF
SEHK:01316,NEXTEER AUTOMOTIVE GROUP LIMITED
SEHK:30336,"SUNSHINE GUOJIAN PHARMACEUTICAL (SHANGHAI) CO., LTD. (A #688336)"
SEHK:93167,"BOHAI FERRY GROUP CO.,LTD. (A #603167)"
SEHK:90966,"SHANDONG BOHUI PAPER INDUSTRY CO.,LTD. (A #600966)"
SEHK:90577,"TONGLING JINGDA SPECIAL MAGNET WIRE CO.,LTD. (A #600577)"
SEHK:78316,"HYDSOFT TECHNOLOGY CO.,LTD. (A #301316)"
SEHK:01740,VALUES CULTURAL INVESTMENT LIMITED
SEHK:90862,"AVIC AVIATION HIGH-TECHNOLOGY CO., LTD. (A #600862)"
SEHK:72698,"HARBIN BOSHI AUTOMATION CO.,LTD. (A #002698)"
SEHK:01854,CHINA WANTIAN HOLDINGS LIMITED
SEHK:91939,CHINA CONSTRUCTION BANK CORPORATION (A #601939)
SEHK:30383,"SHENZHEN XINYICHANG TECHNOLOGY CO., LTD. (A #688383)"
SEHK:08005,YUXING INFOTECH INVESTMENT HOLDINGS LIMITED
SEHK:82020,ANTA SPORTS PRODUCTS LIMITED -RMB TRADED SHARES
SEHK:09011,ICBC CICC USD MONEY MARKET ETF -USD TRADED UNITS
SEHK:02129,LEGION CONSORTIUM LIMITED
SEHK:01272,"DATANG ENVIRONMENT INDUSTRY GROUP CO., LTD."
SEHK:01281,XINDA INVESTMENT HOLDINGS LIMITED
SEHK:03708,CHINA SUPPLY CHAIN HOLDINGS LIMITED
SEHK:91857,PETROCHINA COMPANY LIMITED (A #601857)
SEHK:78328,"WCON ELECTRONICS (GUANGDONG) CO.,LTD. (A #301328)"
SEHK:70913,"ZHEJIANG QIANJIANG MOTORCYCLE CO.,LTD. (A #000913)"
SEHK:00236,SAN MIGUEL BREWERY HONG KONG LIMITED
SEHK:90391,"AECC AERO SCIENCE & TECHNOLOGY CO.,LTD. (A #600391)"
SEHK:00280,KING FOOK HOLDINGS LTD
SEHK:90004,"GUANGZHOU BAIYUN INTERNATIONAL AIRPORT CO.,LTD. (A #600004)"
SEHK:90054,"HUANGSHAN TOURISM DEVELOPMENT CO.,LTD. (A #600054)"
SEHK:77300,"STRAIT INNOVATION INTERNET CO., LTD. (A #300300)"
SEHK:00567,DAISHO MICROLINE HOLDINGS LIMITED
SEHK:72389,"AEROSPACE CH UAV CO.,LTD (A #002389)"
SEHK:00895,DONGJIANG ENVIRONMENTAL COMPANY LIMITED
SEHK:70988,HUAGONG TECH COMPANY LIMITED (A #000988)
SEHK:90386,"BEIJING BASHI MEDIA CO,.LTD (A #600386)"
SEHK:77699,"WEIHAI GUANGWEI COMPOSITES CO., LTD. (A #300699)"
SEHK:01965,LANDSEA GREEN LIFE SERVICE COMPANY LIMITED
SEHK:72294,"SHENZHEN SALUBRIS PHARMACEUTICALS CO.,LTD. (A #002294)"
SEHK:02812,SAMSUNG CSI CHINA DRAGON INTERNET ETF - HKD TRADED UNIT
SEHK:72016,"GUANGDONG SHIRONGZHAOYE CO.,LTD (A #002016)"
SEHK:01396,GUANGDONG-HONG KONG GREATER BAY AREA HOLDINGS LIMITED
SEHK:00264,CHINA INTERNATIONAL DEVELOPMENT CORPORATION LIMITED
SEHK:03991,CHANGHONG JIAHUA HOLDINGS LIMITED
SEHK:90661,"SHANGHAI XINNANYANG ONLY EDUCATION & TECHNOLOGY CO., LTD (A #600661)"
SEHK:00209,WINSHINE SCIENCE COMPANY LIMITED
SEHK:90498,"FIBERHOME TELECOMMUNICATION TECHNOLOGIES CO.,LTD. (A #600498)"
SEHK:72868,"LIFECOME BIOCHEMISTRY CO., LTD. (A #002868)"
SEHK:02489,PERSISTENCE RESOURCES GROUP LTD
SEHK:02840,SPDR GOLD TRUST -HKD COUNTER
SEHK:08480,FURNIWEB HOLDINGS LIMITED
SEHK:77047,"SHENZHEN TIANYUAN DIC INFORMATION TECHNOLOGY CO.,LTD. (A #300047)"
SEHK:77572,"SHENZHEN ANCHE TECHNOLOGIES CO., LTD. (A #300572)"
SEHK:30185,CANSINO BIOLOGICS INC. (A #688185)
SEHK:00434,BOYAA INTERACTIVE INTERNATIONAL LIMITED
SEHK:02429,BEIJING UBOX ONLINE TECHNOLOGY CORP.
SEHK:07766,CSOP TESLA DAILY (2X) LEVERAGED PRODUCT - HKD COUNTER
SEHK:00092,CHAMPION TECHNOLOGY HOLDINGS LIMITED
SEHK:02521,SHENGHUI CLEANNESS GROUP HOLDINGS LIMITED
SEHK:00438,IRICO GROUP NEW ENERGY COMPANY LIMITED
SEHK:77085,"SHENZHEN INFOGEM TECHNOLOGIES CO., LTD. (A #300085)"
SEHK:00218,SHENWAN HONGYUAN (H.K.) LIMITED
SEHK:77894,"MARSSENGER KITCHENWARE CO., LTD. (A #300894)"
SEHK:72172,JIANGSU AOYANG HEALTH INDUSTRY CO.LTD. (A #002172)
SEHK:30378,"JILIN OLED MATERIAL TECH CO.,LTD. (A #688378)"
SEHK:70716,"NANFANG BLACK SESAME GR0UP CO., LTD (A #000716)"
SEHK:00754,HOPSON DEVELOPMENT HOLDINGS LIMITED
SEHK:01215,KAI YUAN HOLDINGS LIMITED
SEHK:08070,KEEN OCEAN INTERNATIONAL HOLDING LIMITED
SEHK:78018,"GUANGDONG SHENLING ENVIRONMENTAL SYSTEMS CO., LTD. (A #301018)"
SEHK:90110,"NUODE NEW MATERIALS CO.,LTD. (A #600110)"
SEHK:72948,"BANK OF QINGDAO CO., LTD. (A #002948)"
SEHK:08169,ECO-TEK HOLDINGS LIMITED
SEHK:09813,CHINAAMC BLOOMBERG CHINA TREASURY + POLCY BK BD IND ETF-USD TRADED UNITS
SEHK:02943,CHINA TOWER CORPORATION LIMITED -OLD
SEHK:02506,"XUNFEI HEALTHCARE TECHNOLOGY CO., LTD."
SEHK:30739,"LIAONING CHENGDA BIOTECHNOLOGY CO.,LTD. (A #688739)"
SEHK:70559,"WANXIANG QIANCHAO CO.,LTD (A #000559)"
SEHK:00432,PACIFIC CENTURY PREMIUM DEVELOPMENTS LIMITED
SEHK:77266,"XINGYUAN ENVIRONMENT TECHNOLOGY CO., LTD. (A #300266)"
SEHK:70600,"JOINTO ENERGY INVESTMENT CO.,LTD. HEBEI (A #000600)"
SEHK:08341,AESO HOLDING LIMITED
SEHK:90497,"YUNNAN CHIHONG ZINC&GERMANIUM CO.,LTD. (A #600497)"
SEHK:93587,"DAZZLE FASHION CO., LTD. (A #603587)"
SEHK:31091,CCB PRINCIPAL SSE 50 INDEX ETF (A #510800)
SEHK:90961,"ZHUZHOU SMELTER GROUP CO., LTD. (A #600961)"
SEHK:90255,"ANHUI XINKE NEW MATERIALS CO., LTD. (A #600255)"
SEHK:93111,"NANJING KANGNI MECHANICAL & ELECTRICAL CO., LTD. (A #603111)"
SEHK:01480,YAN TAT GROUP HOLDINGS LIMITED
SEHK:72714,"MUYUAN FOODS CO.,LTD. (A #002714)"
SEHK:90468,"TIANJIN BENEFO TEJING ELECTRIC CO.,LTD. (A #600468)"
SEHK:02779,CHINA XINHUA EDUCATION GROUP LIMITED
SEHK:77382,"SUZHOU SLAC PRECISION EQUIPMENT CO.,LTD. (A #300382)"
SEHK:78558,"SFC HOLDINGS CO.,LTD. (A #301558)"
SEHK:72245,JIANGSU AZURE CORPORATION (A #002245)
SEHK:01098,ROAD KING INFRASTRUCTURE LIMITED
SEHK:72630,"CHINA WESTERN POWER INDUSTRIAL CO.,LTD. (A #002630)"
SEHK:31054,E FUND CSI DIVIDEND ETF (A #515180)
SEHK:78246,"HUBEI HONGYUAN PHARMACEUTICAL TECHNOLOGY CO.,LTD. (A #301246)"
SEHK:77340,"JIANGMEN KANHOO INDUSTRY CO.,LTD (A #300340)"
SEHK:90343,"SHAANXI AEROSPACE POWER HI-TECH CO.,LTD (A #600343)"
SEHK:90287,"JIANGSU SAINTY CORP.,LTD. (A #600287)"
SEHK:90846,"SHANGHAI TONGJI SCIENCE & TECHNOLOGY INDUSTRIAL CO.,LTD (A #600846)"
SEHK:77174,"FUJIAN YUANLI ACTIVE CARBON CO.,LTD. (A #300174)"
SEHK:02727,SHANGHAI ELECTRIC GROUP COMPANY LIMITED
SEHK:93956,"WPG (SHANGHAI) SMART WATER PUBLIC CO.,LTD (A #603956)"
SEHK:01883,CITIC TELECOM INTERNATIONAL HOLDINGS LIMITED
SEHK:72773,"CHENGDU KANGHONG PHARMACEUTICAL GROUP CO., LTD (A #002773)"
SEHK:00023,BANK OF EAST ASIA LTD
SEHK:93885,"JUNEYAO AIRLINES CO., LTD (A #603885)"
SEHK:08111,CHINA TECHNOLOGY INDUSTRY GROUP LIMITED
SEHK:01288,AGRICULTURAL BANK OF CHINA LIMITED
SEHK:70721,"XI'AN CATERING CO., LTD. (A #000721)"
SEHK:02569,SOFT INTERNATIONAL GROUP LTD
SEHK:93083,"CIG SHANGHAI CO., LTD. (A #603083)"
SEHK:72059,"YUNNAN TOURISM CO., LTD. (A #002059)"
SEHK:01222,WANG ON GROUP LIMITED
SEHK:30425,CHINA RAILWAY CONSTRUCTION HEAVY INDUSTRY CORPORATION LIMITED (A #688425)
SEHK:91868,CHINA ENERGY ENGINEERING CORPORATION LIMITED (A #601868)
SEHK:03347,"HANGZHOU TIGERMED CONSULTING CO., LTD."
SEHK:00341,CAFE DE CORAL HOLDINGS LTD
SEHK:08595,CHINA SAFTOWER INTERNATIONAL HOLDING GROUP LIMITED-OLD
SEHK:77278,"HUACHANGDA INTELLIGENT EQUIPMENT GROUP CO., LTD. (A #300278)"
SEHK:95368,"HENAN LANTIAN GAS CO.,LTD. (A #605368)"
SEHK:91727,SHANGHAI ELECTRIC GROUP COMPANY LIMITED (A #601727)
SEHK:00360,NEW FOCUS AUTO TECH HOLDINGS LIMITED
SEHK:90246,"VANTONE NEO DEVELOPMENT GROUP CO., LTD (A #600246)"
SEHK:91083,"SHANGHAI JINJIANG SHIPPING (GROUP) CO.,LTD. (A #601083)"
SEHK:78345,"ZHEJIANG TAOTAO VEHICLES CO. ,LTD. (A #301345)"
SEHK:02235,"MICROTECH MEDICAL (HANGZHOU) CO., LTD."
SEHK:03886,TOWN HEALTH INTERNATIONAL MEDICAL GROUP LIMITED
SEHK:72354,"TIANYU DIGITAL TECHNOLOGY (DALIAN) GROUP CO.,LTD. (A #002354)"
SEHK:00219,SHUN HO PROPERTY INVESTMENTS LIMITED
SEHK:08513,MAXWIN INTERNATIONAL HOLDINGS LIMITED
SEHK:01722,KIN PANG HOLDINGS LIMITED
SEHK:93408,RUNNER(XIAMEN) CORP. (A #603408)
